"","Gene","log2( Max Expression Level )","Raw Gini Index","Normalized Gini Index","p-value"
"Rps5","Rps5",4.25550073314839,0.374672069564361,-0.0333357364506394,0.274364089555442
"Xk","Xk",1.63226821549951,0.899380165289256,0.0864957646073473,0.274422343508324
"Adrb3","Adrb3",1.63226821549951,0.899380165289256,0.0864957646073473,0.274422343508324
"Kcnk13","Kcnk13",1.63226821549951,0.899380165289256,0.0864957646073473,0.274422343508324
"Ppp1r11","Ppp1r11",3.47248777146274,0.483553592057991,-0.0333144718859288,0.27443501692735
"Pccb","Pccb",1.63226821549951,0.779579453917774,-0.0333049467641351,0.274466790643985
"Vhl","Vhl",1.63226821549951,0.779579453917774,-0.0333049467641351,0.274466790643985
"Rcn2","Rcn2",3.59693514238723,0.465043904958678,-0.033296669136953,0.274494404466515
"Pygb","Pygb",2.35049724708413,0.652539002077164,-0.0332934347304119,0.274505194685668
"Azi2","Azi2",2.35049724708413,0.652541948409717,-0.0332904883978593,0.274515024050871
"Gipc1","Gipc1",2.03562390973072,0.826213479222442,0.0864617065799858,0.274535959385213
"1110038F14Rik","1110038F14Rik",1.63226821549951,0.779614325068871,-0.0332700756130384,0.274583128640084
"Dusp3","Dusp3",3.18586654531133,0.646292883048933,0.0864448877732246,0.274592074642788
"Syn2","Syn2",2.82781902461732,0.695078327371407,0.0864283850602421,0.274647140765397
"Sort1","Sort1",2.60880924267552,0.609564646080432,-0.0332468031951394,0.27466078418814
"Isoc1","Isoc1",2.35049724708413,0.652594359717134,-0.0332380770904425,0.274689904300032
"Arid4b","Arid4b",3.18586654531133,0.526624123862329,-0.0332238714133795,0.274737313692495
"Atp6v0e2","Atp6v0e2",4.39917109381982,0.356545366692395,-0.0332229645857776,0.274740340235437
"Cables2","Cables2",1.63226821549951,0.779681515823423,-0.0332028848584862,0.274807360665898
"Kifap3","Kifap3",4.25550073314839,0.37484196377477,-0.0331658422402299,0.274931019555418
"Vash1","Vash1",1.63226821549951,0.779724517906336,-0.0331598827755728,0.274950916518753
"Fjx1","Fjx1",2.60880924267552,0.729129909926641,0.0863184606510703,0.275014074570199
"Slc8a1","Slc8a1",4.76022094646651,0.432054178821781,0.0863123741154884,0.275034398819287
"Lypla1","Lypla1",2.03562390973072,0.706642639656994,-0.0331091329854625,0.275120384425266
"Etv5","Etv5",3.71149490665009,0.567964332318399,0.0862338328708884,0.275296731253473
"Kif5a","Kif5a",4.00898878322726,0.407377798081316,-0.0330547168204607,0.275302152523837
"Ift43","Ift43",1.63226821549951,0.779856507129234,-0.0330278935526745,0.275391772907281
"Ppp4r2","Ppp4r2",2.03562390973072,0.706760211665378,-0.0329915609770779,0.275513188137725
"2010107G23Rik","2010107G23Rik",2.35049724708413,0.771979535615899,0.0861470988083229,0.275586571207731
"Tbc1d19","Tbc1d19",2.03562390973072,0.706829056111353,-0.0329227165311036,0.275743322853054
"Uso1","Uso1",2.35049724708413,0.652932486924582,-0.0328999498829945,0.275819448483641
