"","x"
"GSM1772058147","14"
"GSM1772096158","1"
"GSM1772096144","2"
"GSM1772092004","14"
"GSM1772092004.1","14"
"GSM1772096173","14"
"GSM1772092004.2","14"
"GSM1772078030","14"
"GSM1772092004.3","14"
"GSM1772092009","14"
"GSM1772078019","14"
"GSM1772089187","14"
"GSM1772078018","14"
"GSM1772089188","14"
"GSM1772089187.1","14"
"GSM1772089188.1","14"
"GSM1772096099","14"
"GSM1772096162","14"
"GSM1772096135","1"
"GSM1772096102","1"
"GSM1772096165","14"
"GSM1772096165.1","14"
"GSM1772096138","14"
"GSM1772092013","14"
"GSM1772096101","14"
"GSM1772084021","14"
"GSM1772078028","14"
"GSM1772084017","14"
"GSM1772096141","14"
"GSM1772078017","14"
"GSM1772075304","14"
"GSM1772078018.1","14"
"GSM1772092008","14"
"GSM1772078030.1","14"
"GSM1772096144.1","14"
"GSM1772078019.1","14"
"GSM1772078030.2","14"
"GSM1772096162.1","14"
"GSM1772096168","11"
"GSM1772078018.2","1"
"GSM1772078018.3","1"
"GSM1772078016","1"
"GSM1772078013","14"
"GSM1772078013.1","14"
"GSM1772096145","14"
"GSM1772096126","14"
"GSM1772096168.1","1"
"GSM1772078013.2","1"
"GSM1772092008.1","14"
"GSM1772096097","1"
"GSM1772078019.2","1"
"GSM1772078018.4","1"
"GSM1772078022","1"
"GSM1772089196","14"
"GSM1772075310","1"
"GSM1772096162.2","9"
"GSM1772078014","1"
"GSM1772096139","1"
"GSM1772078016.1","1"
"GSM1772089186","1"
"GSM1772096126.1","1"
"GSM1772096096","1"
"GSM1772096099.1","1"
"GSM1772096101.1","9"
"GSM1772096132","1"
"GSM1772096134","1"
"GSM1772096141.1","14"
"GSM1772084014","14"
"GSM1772084017.1","1"
"GSM1772096097.1","1"
"GSM1772096097.2","1"
"GSM1772096138.1","1"
"GSM1772096139.1","1"
"GSM1772096140","1"
"GSM1772096141.2","1"
"GSM1772096175","1"
"GSM1772078028.1","6"
"GSM1772089194","6"
"GSM1772096099.2","1"
"GSM1772096100","1"
"GSM1772096100.1","1"
"GSM1772096132.1","1"
"GSM1772096133","1"
"GSM1772096134.1","1"
"GSM1772096138.2","1"
"GSM1772096162.3","9"
"GSM1772096172","1"
"GSM1772096173.1","1"
"GSM1772084014.1","1"
"GSM1772084021.1","1"
"GSM1772075304.1","1"
"GSM1772078028.2","1"
"GSM1772078031","1"
"GSM1772089190","1"
"GSM1772092004.4","1"
"GSM1772096103","1"
"GSM1772096135.1","1"
"GSM1772096133.1","11"
"GSM1772096134.2","1"
"GSM1772096171","1"
"GSM1772096172.1","1"
"GSM1772096173.2","1"
"GSM1772075317","1"
"GSM1772075317.1","1"
"GSM1772075317.2","0"
"GSM1772075304.2","1"
"GSM1772075310.1","9"
"GSM1772078029","1"
"GSM1772078029.1","5"
"GSM1772092013.1","6"
"GSM1772089190.1","1"
"GSM1772089186.1","1"
"GSM1772096097.3","1"
"GSM1772096097.4","1"
"GSM1772096100.2","1"
"GSM1772096100.3","9"
"GSM1772096100.4","9"
"GSM1772096100.5","1"
"GSM1772096103.1","11"
"GSM1772096132.2","5"
"GSM1772096132.3","1"
"GSM1772096132.4","1"
"GSM1772096135.2","9"
"GSM1772096133.2","9"
"GSM1772096134.3","13"
"GSM1772096136","1"
"GSM1772096138.3","1"
"GSM1772096138.4","1"
"GSM1772096138.5","1"
"GSM1772096138.6","1"
"GSM1772096138.7","1"
"GSM1772096139.2","1"
"GSM1772096139.3","1"
"GSM1772096139.4","9"
"GSM1772096139.5","1"
"GSM1772096139.6","13"
"GSM1772096141.3","1"
"GSM1772096141.4","1"
"GSM1772096141.5","1"
"GSM1772096165.2","1"
"GSM1772096172.2","1"
"GSM1772096173.3","6"
"GSM1772096173.4","1"
"GSM1772096175.1","1"
"GSM1772084014.2","1"
"GSM1772084017.2","9"
"GSM1772078028.3","1"
"GSM1772078031.1","2"
"GSM1772078017.1","1"
"GSM1772096100.6","9"
"GSM1772096100.7","1"
"GSM1772096141.6","1"
"GSM1772096165.3","1"
"GSM1772096165.4","1"
"GSM1772096100.8","1"
"GSM1772096141.7","1"
"GSM1772096138.8","1"
"GSM1772096102.1","1"
"GSM1772096100.9","1"
"GSM1772096140.1","1"
"GSM1772096133.3","1"
"GSM1772096135.3","1"
"GSM1772084021.2","1"
"GSM1772096132.5","1"
"GSM1772084021.3","1"
"GSM1772096097.5","1"
"GSM1772096132.6","1"
"GSM1772084017.3","1"
"GSM1772075317.3","1"
"GSM1772089195","1"
"GSM1772096165.5","1"
"GSM1772096100.10","1"
"GSM1772096141.8","1"
"GSM1772084021.4","1"
"GSM1772096138.9","1"
"GSM1772096165.6","1"
"GSM1772096133.4","1"
"GSM1772096172.3","1"
"GSM1772096136.1","11"
"GSM1772096100.11","1"
"GSM1772096100.12","1"
"GSM1772096133.5","1"
"GSM1772096141.9","1"
"GSM1772096173.5","1"
"GSM1772096103.2","1"
"GSM1772096162.4","1"
"GSM1772096103.3","1"
"GSM1772096162.5","1"
"GSM1772078019.3","1"
"GSM1772096101.2","1"
"GSM1772096141.10","1"
"GSM1772096141.11","1"
"GSM1772096141.12","1"
"GSM1772096135.4","1"
"GSM1772096168.2","1"
"GSM1772096141.13","11"
"GSM1772078030.3","1"
"GSM1772075304.3","1"
"GSM1772092012","1"
"GSM1772089194.1","1"
"GSM1772078022.1","1"
"GSM1772096136.2","1"
"GSM1772089186.2","1"
"GSM1772089194.2","1"
"GSM1772096135.5","1"
"GSM1772096135.6","1"
"GSM1772096103.4","1"
"GSM1772096165.7","1"
"GSM1772096141.14","1"
"GSM1772096140.2","1"
"GSM1772096165.8","11"
"GSM1772096132.7","1"
"GSM1772096103.5","1"
"GSM1772096102.2","1"
"GSM1772096141.15","1"
"GSM1772096103.6","1"
"GSM1772096138.10","1"
"GSM1772078030.4","1"
"GSM1772096135.7","11"
"GSM1772092009.1","1"
"GSM1772078030.5","1"
"GSM1772089195.1","1"
"GSM1772092004.5","1"
"GSM1772096100.13","1"
"GSM1772096136.3","11"
"GSM1772096101.3","1"
"GSM1772089194.3","1"
"GSM1772089190.2","1"
"GSM1772078014.1","1"
"GSM1772078019.4","5"
"GSM1772084017.4","1"
"GSM1772096096.1","1"
"GSM1772096126.2","1"
"GSM1772078029.2","1"
"GSM1772075317.4","9"
"GSM1772096126.3","1"
"GSM1772096171.1","1"
