"","sc3_32_clusters"
"GSM1772058147","20"
"GSM1772096158","20"
"GSM1772096144","5"
"GSM1772092004","20"
"GSM1772092004.1","20"
"GSM1772096173","20"
"GSM1772092004.2","20"
"GSM1772078030","20"
"GSM1772092004.3","20"
"GSM1772092009","20"
"GSM1772078019","20"
"GSM1772089187","20"
"GSM1772078018","20"
"GSM1772089188","20"
"GSM1772089187.1","20"
"GSM1772089188.1","20"
"GSM1772096099","20"
"GSM1772096162","20"
"GSM1772096135","32"
"GSM1772096102","29"
"GSM1772096165","20"
"GSM1772096165.1","20"
"GSM1772096138","20"
"GSM1772092013","20"
"GSM1772096101","20"
"GSM1772084021","20"
"GSM1772078028","20"
"GSM1772084017","20"
"GSM1772096141","20"
"GSM1772078017","20"
"GSM1772075304","20"
"GSM1772078018.1","20"
"GSM1772092008","20"
"GSM1772078030.1","20"
"GSM1772096144.1","20"
"GSM1772078019.1","20"
"GSM1772078030.2","20"
"GSM1772096162.1","20"
"GSM1772096168","32"
"GSM1772078018.2","27"
"GSM1772078018.3","20"
"GSM1772078016","17"
"GSM1772078013","20"
"GSM1772078013.1","27"
"GSM1772096145","20"
"GSM1772096126","20"
"GSM1772096168.1","27"
"GSM1772078013.2","11"
"GSM1772092008.1","20"
"GSM1772096097","20"
"GSM1772078019.2","27"
"GSM1772078018.4","11"
"GSM1772078022","11"
"GSM1772089196","20"
"GSM1772075310","11"
"GSM1772096162.2","6"
"GSM1772078014","17"
"GSM1772096139","11"
"GSM1772078016.1","28"
"GSM1772089186","12"
"GSM1772096126.1","11"
"GSM1772096096","24"
"GSM1772096099.1","12"
"GSM1772096101.1","3"
"GSM1772096132","29"
"GSM1772096134","32"
"GSM1772096141.1","20"
"GSM1772084014","20"
"GSM1772084017.1","11"
"GSM1772096097.1","12"
"GSM1772096097.2","11"
"GSM1772096138.1","28"
"GSM1772096139.1","12"
"GSM1772096140","12"
"GSM1772096141.2","12"
"GSM1772096175","12"
"GSM1772078028.1","29"
"GSM1772089194","28"
"GSM1772096099.2","12"
"GSM1772096100","26"
"GSM1772096100.1","11"
"GSM1772096132.1","12"
"GSM1772096133","12"
"GSM1772096134.1","12"
"GSM1772096138.2","30"
"GSM1772096162.3","31"
"GSM1772096172","12"
"GSM1772096173.1","12"
"GSM1772084014.1","12"
"GSM1772084021.1","11"
"GSM1772075304.1","11"
"GSM1772078028.2","22"
"GSM1772078031","6"
"GSM1772089190","12"
"GSM1772092004.4","11"
"GSM1772096103","12"
"GSM1772096135.1","12"
"GSM1772096133.1","11"
"GSM1772096134.2","12"
"GSM1772096171","12"
"GSM1772096172.1","12"
"GSM1772096173.2","12"
"GSM1772075317","11"
"GSM1772075317.1","12"
"GSM1772075317.2","24"
"GSM1772075304.2","12"
"GSM1772075310.1","6"
"GSM1772078029","23"
"GSM1772078029.1","19"
"GSM1772092013.1","29"
"GSM1772089190.1","12"
"GSM1772089186.1","12"
"GSM1772096097.3","12"
"GSM1772096097.4","11"
"GSM1772096100.2","32"
"GSM1772096100.3","6"
"GSM1772096100.4","11"
"GSM1772096100.5","12"
"GSM1772096103.1","32"
"GSM1772096132.2","15"
"GSM1772096132.3","12"
"GSM1772096132.4","12"
"GSM1772096135.2","6"
"GSM1772096133.2","17"
"GSM1772096134.3","16"
"GSM1772096136","11"
"GSM1772096138.3","22"
"GSM1772096138.4","32"
"GSM1772096138.5","30"
"GSM1772096138.6","11"
"GSM1772096138.7","30"
"GSM1772096139.2","12"
"GSM1772096139.3","30"
"GSM1772096139.4","2"
"GSM1772096139.5","30"
"GSM1772096139.6","16"
"GSM1772096141.3","12"
"GSM1772096141.4","12"
"GSM1772096141.5","12"
"GSM1772096165.2","24"
"GSM1772096172.2","12"
"GSM1772096173.3","30"
"GSM1772096173.4","11"
"GSM1772096175.1","11"
"GSM1772084014.2","11"
"GSM1772084017.2","17"
"GSM1772078028.3","12"
"GSM1772078031.1","17"
"GSM1772078017.1","12"
"GSM1772096100.6","6"
"GSM1772096100.7","12"
"GSM1772096141.6","12"
"GSM1772096165.3","12"
"GSM1772096165.4","12"
"GSM1772096100.8","12"
"GSM1772096141.7","12"
"GSM1772096138.8","12"
"GSM1772096102.1","12"
"GSM1772096100.9","12"
"GSM1772096140.1","12"
"GSM1772096133.3","12"
"GSM1772096135.3","12"
"GSM1772084021.2","12"
