"","sc3_34_clusters"
"GSM1772096126.3","26"
"GSM1772096171.1","27"
"GSM1772096134.4","29"
"GSM1772096135.8","28"
"GSM1772096168.3","28"
"GSM1772096141.16","29"
"GSM1772096141.17","29"
"GSM1772084017.5","29"
"GSM1772096134.5","28"
"GSM1772078016.2","28"
"GSM1772089195.2","28"
"GSM1772075304.4","28"
"GSM1772078019.5","26"
"GSM1772089186.3","29"
"GSM1772096136.4","28"
"GSM1772096144.2","28"
"GSM1772096101.4","27"
"GSM1772096144.3","28"
"GSM1772096136.5","28"
"GSM1772096140.3","28"
"GSM1772084017.6","26"
"GSM1772084017.7","28"
"GSM1772096135.9","28"
"GSM1772075317.5","28"
"GSM1772096101.5","12"
"GSM1772096103.7","28"
"GSM1772096103.8","20"
"GSM1772096103.9","28"
"GSM1772096138.11","28"
"GSM1772096138.12","12"
"GSM1772096140.4","28"
"GSM1772096141.18","28"
"GSM1772096141.19","28"
"GSM1772096165.9","28"
"GSM1772096165.10","12"
"GSM1772096171.2","28"
"GSM1772096128","28"
"GSM1772096138.13","13"
"GSM1772096136.6","28"
"GSM1772096102.3","28"
"GSM1772096133.6","28"
"GSM1772089195.3","13"
"GSM1772096134.6","28"
"GSM1772096097.6","12"
"GSM1772096138.14","28"
"GSM1772096139.7","19"
"GSM1772096141.20","12"
"GSM1772096134.7","14"
"GSM1772096101.6","12"
"GSM1772078030.6","13"
"GSM1772096141.21","24"
"GSM1772096101.7","27"
"GSM1772089194.4","12"
"GSM1772096139.8","13"
"GSM1772078031.2","26"
"GSM1772075304.5","28"
"GSM1772078029.3","12"
"GSM1772089190.3","28"
"GSM1772096135.10","13"
"GSM1772096139.9","13"
"GSM1772078030.7","13"
"GSM1772075304.6","12"
"GSM1772075305","28"
"GSM1772078029.4","19"
"GSM1772084017.8","28"
"GSM1772096139.10","19"
"GSM1772096140.5","12"
"GSM1772096139.11","13"
"GSM1772096144.4","19"
"GSM1772096138.15","12"
"GSM1772075304.7","19"
"GSM1772096126.4","26"
"GSM1772075317.6","12"
"GSM1772084017.9","14"
"GSM1772096138.16","12"
"GSM1772096100.14","13"
"GSM1772096133.7","28"
"GSM1772084021.5","26"
"GSM1772096132.8","13"
"GSM1772084014.3","12"
"GSM1772096140.6","26"
"GSM1772096132.9","12"
"GSM1772084020","12"
"GSM1772096103.10","12"
"GSM1772096162.6","28"
"GSM1772096132.10","13"
"GSM1772096136.7","12"
"GSM1772078017.2","12"
"GSM1772096102.4","28"
"GSM1772089194.5","13"
"GSM1772096132.11","12"
"GSM1772096099.3","12"
"GSM1772096136.8","13"
"GSM1772096168.4","12"
"GSM1772096102.5","12"
"GSM1772096136.9","13"
"GSM1772089187.2","12"
"GSM1772096100.15","12"
"GSM1772096141.22","12"
"GSM1772092011","12"
"GSM1772096135.11","12"
"GSM1772096139.12","19"
"GSM1772096135.12","12"
"GSM1772096101.8","28"
"GSM1772096135.13","13"
"GSM1772096141.23","28"
"GSM1772096103.11","12"
"GSM1772096140.7","19"
"GSM1772096103.12","12"
"GSM1772096101.9","13"
"GSM1772084021.6","13"
"GSM1772084021.7","19"
"GSM1772096144.5","13"
"GSM1772096173.6","13"
"GSM1772096132.12","19"
"GSM1772084021.8","12"
"GSM1772096172.4","28"
"GSM1772096141.24","28"
"GSM1772096172.5","12"
"GSM1772089196.1","12"
"GSM1772096172.6","28"
"GSM1772075305.1","12"
"GSM1772078028.4","28"
"GSM1772075304.8","12"
"GSM1772075304.9","12"
"GSM1772084014.4","12"
"GSM1772096140.8","12"
"GSM1772096138.17","13"
"GSM1772096126.5","12"
"GSM1772096138.18","14"
"GSM1772084021.9","12"
"GSM1772089194.6","13"
"GSM1772089194.7","12"
"GSM1772078030.8","12"
"GSM1772078030.9","12"
"GSM1772092009.2","28"
"GSM1772092013.2","13"
"GSM1772092013.3","13"
"GSM1772075305.2","12"
"GSM1772078031.3","12"
"GSM1772078030.10","13"
"GSM1772092012.1","13"
"GSM1772078016.3","12"
"GSM1772075305.3","12"
"GSM1772075317.7","13"
"GSM1772078014.2","13"
"GSM1772078014.3","12"
"GSM1772078014.4","19"
"GSM1772078019.6","14"
"GSM1772092011.1","13"
"GSM1772089188.2","16"
"GSM1772089187.3","15"
"GSM1772096126.6","13"
"GSM1772096096.2","20"
"GSM1772096099.4","14"
"GSM1772096099.5","13"
"GSM1772096099.6","13"
"GSM1772096099.7","13"
"GSM1772096099.8","14"
"GSM1772096100.16","19"
"GSM1772096100.17","13"
"GSM1772096101.10","13"
"GSM1772096101.11","13"
"GSM1772096103.13","16"
"GSM1772096103.14","13"
"GSM1772096103.15","13"
"GSM1772096103.16","14"
"GSM1772096103.17","20"
"GSM1772096132.13","13"
"GSM1772096132.14","13"
"GSM1772096132.15","19"
"GSM1772096132.16","13"
"GSM1772096133.8","14"
"GSM1772096133.9","13"
"GSM1772096134.8","13"
"GSM1772096136.10","14"
"GSM1772096136.11","13"
"GSM1772096139.13","14"
"GSM1772096140.9","13"
"GSM1772096140.10","13"
"GSM1772096140.11","13"
"GSM1772096141.25","13"
"GSM1772096141.26","13"
"GSM1772096162.7","14"
"GSM1772096162.8","16"
"GSM1772096162.9","13"
"GSM1772096162.10","16"
"GSM1772096165.11","13"
"GSM1772096165.12","13"
"GSM1772096168.5","19"
"GSM1772096171.3","15"
"GSM1772096172.7","13"
"GSM1772096172.8","13"
"GSM1772096172.9","13"
"GSM1772096173.7","13"
"GSM1772096173.8","14"
"GSM1772096128.1","20"
"GSM1772096128.2","13"
"GSM1772096128.3","19"
"GSM1772096175.2","13"
"GSM1772096175.3","34"
