"","sc3_27_clusters"
"GSM2612539","18"
"GSM2612540","11"
"GSM2612541","10"
"GSM2612542","12"
"GSM2612543","19"
"GSM2612544","13"
"GSM2612545","13"
"GSM2612546","12"
"GSM2612547","10"
"GSM2612548","23"
"GSM2612549","8"
"GSM2612550","8"
"GSM2612551","8"
"GSM2612552","13"
"GSM2612553","8"
"GSM2612554","16"
"GSM2612555","8"
"GSM2612556","8"
"GSM2612557","12"
"GSM2612558","11"
"GSM2612559","19"
"GSM2612560","18"
"GSM2612561","10"
"GSM2612562","13"
"GSM2612563","23"
"GSM2612564","10"
"GSM2612565","19"
"GSM2612566","8"
"GSM2612567","8"
"GSM2612568","8"
"GSM2612569","10"
"GSM2612570","10"
"GSM2612571","13"
"GSM2612572","8"
"GSM2612573","8"
"GSM2612574","8"
"GSM2612575","8"
"GSM2612576","10"
"GSM2612577","19"
"GSM2612578","8"
"GSM2612579","8"
"GSM2612580","8"
"GSM2612581","18"
"GSM2612582","22"
"GSM2612583","23"
"GSM2612584","19"
"GSM2612585","8"
"GSM2612586","12"
"GSM2612587","8"
"GSM2612588","13"
"GSM2612589","19"
"GSM2612590","18"
"GSM2612591","8"
"GSM2612592","13"
"GSM2612593","8"
"GSM2612594","8"
"GSM2612595","23"
"GSM2612596","13"
"GSM2612597","19"
"GSM2612598","13"
"GSM2612599","8"
"GSM2612600","8"
"GSM2612601","12"
"GSM2612602","8"
"GSM2612603","13"
"GSM2612604","13"
"GSM2612605","18"
"GSM2612606","19"
"GSM2612607","10"
"GSM2612608","8"
"GSM2612609","13"
"GSM2612610","23"
"GSM2612611","8"
"GSM2612612","23"
"GSM2612613","11"
"GSM2612614","10"
"GSM2612615","26"
"GSM2612616","8"
"GSM2612617","13"
"GSM2612618","23"
"GSM2612619","8"
"GSM2612620","13"
"GSM2612621","23"
"GSM2612622","8"
"GSM2612623","22"
"GSM2612624","8"
"GSM2612625","18"
"GSM2612626","10"
"GSM2612627","22"
"GSM2612628","8"
"GSM2612629","8"
"GSM2612630","19"
"GSM2612631","8"
"GSM2612632","10"
"GSM2612633","8"
"GSM2612634","11"
"GSM2612635","13"
"GSM2612636","23"
"GSM2612637","11"
"GSM2612638","8"
"GSM2612639","8"
"GSM2612640","8"
"GSM2612641","12"
"GSM2612642","8"
"GSM2612643","19"
"GSM2612644","23"
