"","x"
"GSM2612829","2"
"GSM2612830","5"
"GSM2612831","4"
"GSM2612832","0"
"GSM2612833","5"
"GSM2612834","0"
"GSM2612835","0"
"GSM2612836","0"
"GSM2612837","0"
"GSM2612838","4"
"GSM2612839","2"
"GSM2612840","5"
"GSM2612841","0"
"GSM2612842","9"
"GSM2612843","2"
"GSM2612844","2"
"GSM2612845","0"
"GSM2612846","2"
"GSM2612847","0"
"GSM2612848","4"
"GSM2612849","2"
"GSM2612850","0"
"GSM2612851","5"
"GSM2612852","2"
"GSM2612853","5"
"GSM2612854","2"
"GSM2612855","4"
"GSM2612856","5"
"GSM2612857","2"
"GSM2612858","2"
"GSM2612859","0"
"GSM2612860","4"
"GSM2612861","0"
"GSM2612862","4"
"GSM2612863","0"
"GSM2612864","2"
"GSM2612865","4"
"GSM2612866","4"
"GSM2612867","0"
"GSM2612868","5"
"GSM2612869","5"
"GSM2612870","5"
"GSM2612871","2"
"GSM2612872","0"
"GSM2612873","4"
"GSM2612874","5"
"GSM2612875","2"
"GSM2612876","9"
"GSM2612877","2"
"GSM2612878","5"
"GSM2612879","4"
"GSM2612880","4"
"GSM2612881","0"
"GSM2612882","0"
"GSM2612883","2"
"GSM2612884","9"
"GSM2612885","0"
"GSM2612886","0"
"GSM2612887","9"
"GSM2612888","2"
"GSM2612889","5"
"GSM2612890","4"
"GSM2612891","2"
"GSM2612892","2"
"GSM2612893","9"
"GSM2612894","2"
"GSM2612895","0"
"GSM2612896","2"
"GSM2612897","0"
"GSM2612898","0"
"GSM2612899","0"
"GSM2612900","0"
"GSM2612901","0"
"GSM2612902","0"
"GSM2612903","0"
"GSM2612904","4"
"GSM2612905","2"
"GSM2612906","2"
"GSM2612907","4"
"GSM2612908","2"
"GSM2612909","4"
"GSM2612910","5"
"GSM2612911","0"
"GSM2612912","2"
"GSM2612913","0"
"GSM2612914","0"
"GSM2612915","0"
"GSM2612916","2"
"GSM2612917","0"
"GSM2612918","4"
"GSM2612919","2"
"GSM2612920","5"
"GSM2612921","0"
"GSM2612922","2"
"GSM2612923","2"
"GSM2612924","5"
"GSM2612925","2"
"GSM2612926","4"
"GSM2612927","2"
"GSM2612928","2"
"GSM2612929","0"
"GSM2612930","5"
"GSM2612931","4"
"GSM2612932","4"
"GSM2612933","0"
"GSM2612934","2"
"GSM2612935","0"
"GSM2612936","0"
"GSM2612937","2"
"GSM2612938","5"
"GSM2612939","0"
"GSM2612940","0"
"GSM2612941","9"
"GSM2612942","2"
"GSM2612943","4"
"GSM2612944","2"
"GSM2612945","2"
"GSM2612946","2"
"GSM2612947","9"
"GSM2612948","0"
"GSM2612949","0"
"GSM2612950","9"
"GSM2612951","0"
"GSM2612952","0"
"GSM2612953","2"
"GSM2612954","2"
"GSM2612955","0"
"GSM2612956","5"
"GSM2612957","4"
"GSM2612958","0"
"GSM2612959","2"
"GSM2612960","9"
"GSM2612961","4"
"GSM2612962","2"
"GSM2612963","0"
"GSM2612964","0"
"GSM2612965","9"
"GSM2612966","0"
"GSM2612967","0"
"GSM2612968","5"
"GSM2612969","4"
"GSM2612970","2"
"GSM2612971","2"
"GSM2612972","2"
"GSM2612973","0"
"GSM2612974","2"
"GSM2612975","2"
"GSM2612976","0"
"GSM2612977","0"
"GSM2612978","2"
"GSM2612979","0"
"GSM2612980","4"
"GSM2612981","2"
"GSM2612982","2"
"GSM2612983","5"
"GSM2612984","4"
"GSM2612985","4"
"GSM2612986","2"
"GSM2612987","2"
"GSM2612988","4"
"GSM2612989","4"
"GSM2612990","5"
"GSM2612991","0"
"GSM2612992","0"
"GSM2612993","2"
"GSM2612994","5"
"GSM2612995","0"
"GSM2612996","2"
"GSM2612997","2"
"GSM2612998","0"
"GSM2612999","0"
"GSM2613000","9"
"GSM2613001","4"
"GSM2613002","0"
"GSM2613003","0"
"GSM2613004","0"
"GSM2613005","2"
"GSM2613006","5"
"GSM2613007","4"
"GSM2613008","9"
"GSM2613009","0"
"GSM2613010","2"
"GSM2613011","2"
"GSM2613012","4"
"GSM2613013","5"
"GSM2613014","0"
"GSM2613015","2"
"GSM2613016","5"
"GSM2613017","2"
"GSM2613018","0"
"GSM2613019","5"
"GSM2613020","0"
"GSM2613021","0"
"GSM2613022","2"
"GSM2613023","0"
"GSM2613024","0"
"GSM2613025","0"
"GSM2613026","2"
"GSM2613027","0"
"GSM2613028","0"
"GSM2613029","9"
"GSM2613030","0"
"GSM2613031","9"
"GSM2613032","4"
"GSM2613033","4"
"GSM2613034","0"
"GSM2613035","5"
"GSM2613036","4"
"GSM2613037","9"
"GSM2613038","0"
"GSM2613039","4"
"GSM2613040","0"
"GSM2613041","2"
"GSM2613042","4"
"GSM2613043","4"
"GSM2613044","2"
"GSM2613045","2"
"GSM2613046","0"
"GSM2613047","0"
"GSM2613048","4"
"GSM2613049","5"
"GSM2613050","0"
"GSM2613051","2"
"GSM2613052","4"
"GSM2613053","0"
"GSM2613054","2"
"GSM2613055","2"
"GSM2613056","0"
"GSM2613057","0"
"GSM2613058","0"
"GSM2613059","2"
"GSM2613060","2"
"GSM2613061","9"
"GSM2613062","2"
"GSM2613063","0"
"GSM2613064","2"
"GSM2613065","5"
"GSM2613066","2"
"GSM2613067","2"
"GSM2613068","9"
"GSM2613069","2"
"GSM2613070","0"
"GSM2613071","4"
"GSM2613072","2"
"GSM2613073","9"
"GSM2613074","4"
"GSM2613075","0"
"GSM2613076","9"
"GSM2613077","0"
"GSM2613078","0"
"GSM2613079","0"
"GSM2613080","2"
"GSM2613081","0"
"GSM2613082","2"
"GSM2613083","0"
"GSM2613084","0"
"GSM2613085","5"
"GSM2613086","5"
"GSM2613087","0"
"GSM2613088","5"
"GSM2613089","2"
"GSM2613090","0"
"GSM2613091","0"
"GSM2613092","0"
"GSM2613093","0"
"GSM2613094","0"
"GSM2613095","5"
"GSM2613096","2"
"GSM2613097","2"
"GSM2613098","2"
"GSM2613099","2"
"GSM2613100","2"
"GSM2613101","5"
"GSM2613102","0"
"GSM2613103","2"
"GSM2613104","2"
"GSM2613105","0"
"GSM2613106","2"
"GSM2613107","2"
"GSM2613108","2"
"GSM2613109","0"
"GSM2613110","2"
"GSM2613111","2"
"GSM2613112","2"
"GSM2613113","0"
"GSM2613114","4"
"GSM2613115","2"
"GSM2613116","4"
"GSM2613117","9"
"GSM2613118","2"
"GSM2613119","0"
"GSM2613120","2"
"GSM2613121","0"
"GSM2613122","2"
"GSM2613123","2"
"GSM2613124","0"
"GSM2613125","2"
"GSM2613126","9"
"GSM2613127","0"
"GSM2613128","5"
"GSM2613129","0"
"GSM2613130","5"
"GSM2613131","0"
"GSM2613132","4"
"GSM2613133","9"
"GSM2613134","2"
"GSM2613135","2"
"GSM2613136","9"
"GSM2613137","2"
"GSM2613138","0"
"GSM2613139","2"
"GSM2613140","0"
"GSM2613141","5"
"GSM2613142","5"
"GSM2613143","0"
"GSM2613144","0"
"GSM2613145","0"
"GSM2613146","0"
"GSM2613147","0"
"GSM2613148","0"
"GSM2613149","2"
"GSM2613150","5"
"GSM2613151","2"
"GSM2613152","9"
"GSM2613153","5"
"GSM2613154","4"
"GSM2613155","0"
"GSM2613156","0"
"GSM2613157","0"
"GSM2613158","0"
"GSM2613159","0"
"GSM2613160","2"
"GSM2613161","2"
"GSM2613162","0"
"GSM2613163","4"
"GSM2613164","0"
"GSM2613165","4"
"GSM2613166","0"
"GSM2613167","5"
"GSM2613168","0"
"GSM2613169","2"
"GSM2613170","0"
"GSM2613171","2"
"GSM2613172","2"
"GSM2613173","0"
