"","cell.ID","cluster.ID"
"157","GSM1772096138.8","Cluster_1"
"158","GSM1772096102.1","Cluster_1"
"159","GSM1772096100.9","Cluster_1"
"160","GSM1772096140.1","Cluster_1"
"161","GSM1772096133.3","Cluster_1"
"162","GSM1772096135.3","Cluster_1"
"163","GSM1772084021.2","Cluster_1"
"164","GSM1772096132.5","Cluster_1"
"165","GSM1772084021.3","Cluster_1"
"166","GSM1772096097.5","Cluster_1"
"167","GSM1772096132.6","Cluster_1"
"168","GSM1772084017.3","Cluster_1"
"169","GSM1772075317.3","Cluster_1"
"170","GSM1772089195","Cluster_1"
"171","GSM1772096165.5","Cluster_1"
"172","GSM1772096100.10","Cluster_1"
"173","GSM1772096141.8","Cluster_1"
"174","GSM1772084021.4","Cluster_1"
"175","GSM1772096138.9","Cluster_1"
"176","GSM1772096165.6","Cluster_1"
"177","GSM1772096133.4","Cluster_1"
"178","GSM1772096172.3","Cluster_1"
"179","GSM1772096136.1","Cluster_1"
"180","GSM1772096100.11","Cluster_1"
"181","GSM1772096100.12","Cluster_1"
"182","GSM1772096133.5","Cluster_1"
"183","GSM1772096141.9","Cluster_1"
"184","GSM1772096173.5","Cluster_1"
"185","GSM1772096103.2","Cluster_1"
"186","GSM1772096162.4","Cluster_1"
"187","GSM1772096103.3","Cluster_1"
"188","GSM1772096162.5","Cluster_1"
"189","GSM1772078019.3","Cluster_1"
"190","GSM1772096101.2","Cluster_1"
"191","GSM1772096141.10","Cluster_1"
"192","GSM1772096141.11","Cluster_1"
"193","GSM1772096141.12","Cluster_1"
"194","GSM1772096135.4","Cluster_1"
"195","GSM1772096168.2","Cluster_1"
"196","GSM1772096141.13","Cluster_1"
"197","GSM1772078030.3","Cluster_1"
"198","GSM1772075304.3","Cluster_1"
"199","GSM1772092012","Cluster_1"
"200","GSM1772089194.1","Cluster_1"
"201","GSM1772078022.1","Cluster_1"
"202","GSM1772096136.2","Cluster_1"
"203","GSM1772089186.2","Cluster_1"
"204","GSM1772089194.2","Cluster_1"
"205","GSM1772096135.5","Cluster_1"
"206","GSM1772096135.6","Cluster_1"
"207","GSM1772096103.4","Cluster_1"
"208","GSM1772096165.7","Cluster_1"
"209","GSM1772096141.14","Cluster_1"
"210","GSM1772096140.2","Cluster_1"
"211","GSM1772096165.8","Cluster_1"
"212","GSM1772096132.7","Cluster_1"
"213","GSM1772096103.5","Cluster_1"
"214","GSM1772096102.2","Cluster_1"
"215","GSM1772096141.15","Cluster_1"
"216","GSM1772096103.6","Cluster_1"
"217","GSM1772096138.10","Cluster_1"
"218","GSM1772078030.4","Cluster_1"
"219","GSM1772096135.7","Cluster_1"
"220","GSM1772092009.1","Cluster_1"
"221","GSM1772078030.5","Cluster_1"
"222","GSM1772089195.1","Cluster_1"
"223","GSM1772092004.5","Cluster_1"
"224","GSM1772096100.13","Cluster_1"
"225","GSM1772096136.3","Cluster_1"
"226","GSM1772096101.3","Cluster_1"
"227","GSM1772089194.3","Cluster_1"
"228","GSM1772089190.2","Cluster_1"
"229","GSM1772078014.1","Cluster_1"
"230","GSM1772078019.4","Cluster_1"
"231","GSM1772084017.4","Cluster_1"
"232","GSM1772096096.1","Cluster_1"
"233","GSM1772096126.2","Cluster_1"
"234","GSM1772078029.2","Cluster_1"
"235","GSM1772075317.4","Cluster_1"
"236","GSM1772096126.3","Cluster_1"
"237","GSM1772096171.1","Cluster_1"
"238","GSM1772096134.4","Cluster_1"
"239","GSM1772096135.8","Cluster_1"
"240","GSM1772096168.3","Cluster_1"
"241","GSM1772096141.16","Cluster_1"
"242","GSM1772096141.17","Cluster_1"
"243","GSM1772084017.5","Cluster_1"
"244","GSM1772096134.5","Cluster_1"
"245","GSM1772078016.2","Cluster_1"
"246","GSM1772089195.2","Cluster_1"
"247","GSM1772075304.4","Cluster_1"
"248","GSM1772078019.5","Cluster_1"
"249","GSM1772089186.3","Cluster_1"
"250","GSM1772096136.4","Cluster_1"
"251","GSM1772096144.2","Cluster_1"
"252","GSM1772096101.4","Cluster_1"
"253","GSM1772096144.3","Cluster_1"
"254","GSM1772096136.5","Cluster_1"
"255","GSM1772096140.3","Cluster_1"
"256","GSM1772084017.6","Cluster_1"
"257","GSM1772084017.7","Cluster_1"
"258","GSM1772096135.9","Cluster_1"
"259","GSM1772075317.5","Cluster_1"
"260","GSM1772096101.5","Cluster_1"
"261","GSM1772096103.7","Cluster_1"
"262","GSM1772096103.8","Cluster_1"
"263","GSM1772096103.9","Cluster_1"
"264","GSM1772096138.11","Cluster_1"
"265","GSM1772096138.12","Cluster_1"
"266","GSM1772096140.4","Cluster_1"
"267","GSM1772096141.18","Cluster_1"
"268","GSM1772096141.19","Cluster_1"
"269","GSM1772096165.9","Cluster_1"
"270","GSM1772096165.10","Cluster_1"
"271","GSM1772096171.2","Cluster_1"
"272","GSM1772096128","Cluster_1"
"273","GSM1772096138.13","Cluster_1"
"274","GSM1772096136.6","Cluster_1"
"275","GSM1772096102.3","Cluster_1"
"276","GSM1772096133.6","Cluster_1"
"277","GSM1772089195.3","Cluster_1"
"278","GSM1772096134.6","Cluster_1"
"279","GSM1772096097.6","Cluster_1"
"280","GSM1772096138.14","Cluster_1"
"281","GSM1772096139.7","Cluster_1"
"282","GSM1772096141.20","Cluster_1"
"283","GSM1772096134.7","Cluster_1"
"284","GSM1772096101.6","Cluster_1"
"285","GSM1772078030.6","Cluster_1"
"286","GSM1772096141.21","Cluster_1"
"287","GSM1772096101.7","Cluster_1"
"288","GSM1772089194.4","Cluster_1"
"289","GSM1772096139.8","Cluster_1"
"290","GSM1772078031.2","Cluster_1"
"291","GSM1772075304.5","Cluster_1"
"292","GSM1772078029.3","Cluster_1"
"293","GSM1772089190.3","Cluster_1"
"294","GSM1772096135.10","Cluster_1"
"295","GSM1772096139.9","Cluster_1"
"296","GSM1772078030.7","Cluster_1"
"297","GSM1772075304.6","Cluster_1"
"298","GSM1772075305","Cluster_1"
"299","GSM1772078029.4","Cluster_1"
"300","GSM1772084017.8","Cluster_1"
"301","GSM1772096139.10","Cluster_1"
"302","GSM1772096140.5","Cluster_1"
"303","GSM1772096139.11","Cluster_1"
"304","GSM1772096144.4","Cluster_1"
"305","GSM1772096138.15","Cluster_1"
"306","GSM1772075304.7","Cluster_1"
"307","GSM1772096126.4","Cluster_1"
"308","GSM1772075317.6","Cluster_1"
"309","GSM1772084017.9","Cluster_1"
"310","GSM1772096138.16","Cluster_1"
"311","GSM1772096100.14","Cluster_1"
"312","GSM1772096133.7","Cluster_1"
"313","GSM1772084021.5","Cluster_1"
"314","GSM1772096132.8","Cluster_1"
"315","GSM1772084014.3","Cluster_1"
"316","GSM1772096140.6","Cluster_1"
"317","GSM1772096132.9","Cluster_1"
"318","GSM1772084020","Cluster_1"
"319","GSM1772096103.10","Cluster_1"
"320","GSM1772096162.6","Cluster_1"
"321","GSM1772096132.10","Cluster_1"
"322","GSM1772096136.7","Cluster_1"
"323","GSM1772078017.2","Cluster_1"
"324","GSM1772096102.4","Cluster_1"
"325","GSM1772089194.5","Cluster_1"
"326","GSM1772096132.11","Cluster_1"
"327","GSM1772096099.3","Cluster_1"
"328","GSM1772096136.8","Cluster_1"
"329","GSM1772096168.4","Cluster_1"
"330","GSM1772096102.5","Cluster_1"
"331","GSM1772096136.9","Cluster_1"
"332","GSM1772089187.2","Cluster_1"
"333","GSM1772096100.15","Cluster_1"
"334","GSM1772096141.22","Cluster_1"
"335","GSM1772092011","Cluster_1"
"336","GSM1772096135.11","Cluster_1"
"337","GSM1772096139.12","Cluster_1"
"338","GSM1772096135.12","Cluster_1"
"339","GSM1772096101.8","Cluster_1"
"340","GSM1772096135.13","Cluster_1"
"341","GSM1772096141.23","Cluster_1"
"342","GSM1772096103.11","Cluster_1"
"343","GSM1772096140.7","Cluster_1"
"344","GSM1772096103.12","Cluster_1"
"345","GSM1772096101.9","Cluster_1"
"346","GSM1772084021.6","Cluster_1"
"347","GSM1772084021.7","Cluster_1"
"348","GSM1772096144.5","Cluster_1"
"349","GSM1772096173.6","Cluster_1"
"350","GSM1772096132.12","Cluster_1"
"351","GSM1772084021.8","Cluster_1"
"352","GSM1772096172.4","Cluster_1"
"353","GSM1772096141.24","Cluster_1"
"354","GSM1772096172.5","Cluster_1"
"355","GSM1772089196.1","Cluster_1"
"356","GSM1772096172.6","Cluster_1"
"357","GSM1772075305.1","Cluster_1"
"358","GSM1772078028.4","Cluster_1"
"359","GSM1772075304.8","Cluster_1"
"360","GSM1772075304.9","Cluster_1"
"361","GSM1772084014.4","Cluster_1"
"362","GSM1772096140.8","Cluster_1"
"363","GSM1772096138.17","Cluster_1"
"364","GSM1772096126.5","Cluster_1"
"365","GSM1772096138.18","Cluster_1"
"366","GSM1772084021.9","Cluster_1"
"367","GSM1772089194.6","Cluster_1"
"368","GSM1772089194.7","Cluster_1"
"369","GSM1772078030.8","Cluster_1"
"370","GSM1772078030.9","Cluster_1"
"371","GSM1772092009.2","Cluster_1"
"372","GSM1772092013.2","Cluster_1"
"373","GSM1772092013.3","Cluster_1"
"374","GSM1772075305.2","Cluster_1"
"375","GSM1772078031.3","Cluster_1"
"376","GSM1772078030.10","Cluster_1"
"377","GSM1772092012.1","Cluster_1"
"378","GSM1772078016.3","Cluster_1"
"379","GSM1772075305.3","Cluster_1"
"380","GSM1772075317.7","Cluster_1"
"381","GSM1772078014.2","Cluster_1"
"382","GSM1772078014.3","Cluster_1"
"383","GSM1772078014.4","Cluster_1"
"384","GSM1772078019.6","Cluster_1"
"385","GSM1772092011.1","Cluster_1"
"386","GSM1772089188.2","Cluster_1"
"387","GSM1772089187.3","Cluster_1"
"388","GSM1772096126.6","Cluster_1"
"389","GSM1772096096.2","Cluster_1"
"390","GSM1772096099.4","Cluster_1"
"391","GSM1772096099.5","Cluster_1"
"392","GSM1772096099.6","Cluster_1"
"393","GSM1772096099.7","Cluster_1"
"394","GSM1772096099.8","Cluster_1"
"395","GSM1772096100.16","Cluster_1"
"396","GSM1772096100.17","Cluster_1"
"397","GSM1772096101.10","Cluster_1"
"398","GSM1772096101.11","Cluster_1"
"399","GSM1772096103.13","Cluster_1"
"400","GSM1772096103.14","Cluster_1"
"401","GSM1772096103.15","Cluster_1"
"402","GSM1772096103.16","Cluster_1"
"403","GSM1772096103.17","Cluster_1"
"404","GSM1772096132.13","Cluster_1"
"405","GSM1772096132.14","Cluster_1"
"406","GSM1772096132.15","Cluster_1"
"407","GSM1772096132.16","Cluster_1"
"408","GSM1772096133.8","Cluster_1"
"409","GSM1772096133.9","Cluster_1"
