"","Gene","log2( Max Expression Level )","Raw Gini Index","Normalized Gini Index","p-value"
"Sipa1l1","Sipa1l1",2.82781902461732,0.866223597378014,0.0165239458160635,0.451019719914633
"Cyth4","Cyth4",1.63226821549951,0.988052087528527,0.0373222098532614,0.451058515499853
"Ncam2","Ncam2",3.59693514238723,0.790745337961057,0.0165344399163962,0.451068879193648
"Stk36","Stk36",2.03562390973072,0.944922137199624,0.016535373630266,0.451073253182924
"Slc5a11","Slc5a11",1.63226821549951,0.988043788672061,0.0373139109967949,0.451097391635231
"Fam219a","Fam219a",2.03562390973072,0.965699265292052,0.0373125017226936,0.451103993450519
"Tmem89","Tmem89",1.0703893278914,0.994725615668024,0.0165526598704637,0.451154231770868
"1700023E05Rik","1700023E05Rik",1.0703893278914,0.994725615668024,0.0165526598704637,0.451154231770868
"Draxin","Draxin",1.0703893278914,0.994725615668024,0.0165526598704637,0.451154231770868
"Lrrc38","Lrrc38",1.0703893278914,0.994725615668024,0.0165526598704637,0.451154231770868
"Pla2g2d","Pla2g2d",1.0703893278914,0.994725615668024,0.0165526598704637,0.451154231770868
"Fsbp","Fsbp",1.0703893278914,0.994725615668024,0.0165526598704637,0.451154231770868
"Rad51","Rad51",1.0703893278914,0.994725615668024,0.0165526598704637,0.451154231770868
"AA387883","AA387883",1.0703893278914,0.994725615668024,0.0165526598704637,0.451154231770868
"Nfkbie","Nfkbie",1.0703893278914,0.994725615668024,0.0165526598704637,0.451154231770868
"Myo1f","Myo1f",1.0703893278914,0.994725615668024,0.0165526598704637,0.451154231770868
"1700120C14Rik","1700120C14Rik",1.0703893278914,0.994725615668024,0.0165526598704637,0.451154231770868
"Fam83f","Fam83f",1.0703893278914,0.994725615668024,0.0165526598704637,0.451154231770868
"Hrh2","Hrh2",1.0703893278914,0.994725615668024,0.0165526598704637,0.451154231770868
"Pctp","Pctp",1.0703893278914,0.994725615668024,0.0165526598704637,0.451154231770868
"Vsig8","Vsig8",1.0703893278914,0.994725615668024,0.0165526598704637,0.451154231770868
"Twist2","Twist2",1.0703893278914,0.994725615668024,0.0165526598704637,0.451154231770868
"Zfp760","Zfp760",2.35049724708413,0.914721484755449,0.0165605536522934,0.451191211414213
"Tshz2","Tshz2",2.35049724708413,0.914725706652746,0.0165647755495899,0.451210989719754
"Mfi2","Mfi2",1.63226821549951,0.988018662962567,0.0372887852873013,0.451215096310583
"Myadml2","Myadml2",1.63226821549951,0.988018662962567,0.0372887852873013,0.451215096310583
"Sp3","Sp3",3.59693514238723,0.811482268810985,0.0372713707663247,0.45129667943135
"Smco4","Smco4",1.63226821549951,0.967317654228649,0.0165877765533831,0.451318744557343
"Mctp2","Mctp2",1.63226821549951,0.98799065282338,0.0372607751481138,0.451346318530536
