"","Gene","log2( Max Expression Level )","Raw Gini Index","Normalized Gini Index","p-value"
"Stard10","Stard10",1.0703893278914,0.968141592920354,0.0884751370730588,0.278718682557462
"Gpx2-ps1","Gpx2-ps1",1.0703893278914,0.968141592920354,0.0884751370730588,0.278718682557462
"Fxyd5","Fxyd5",1.0703893278914,0.968141592920354,0.0884751370730588,0.278718682557462
"Catsperg1","Catsperg1",1.0703893278914,0.968141592920354,0.0884751370730588,0.278718682557462
"Zfp583","Zfp583",1.0703893278914,0.968141592920354,0.0884751370730588,0.278718682557462
"Acrbp","Acrbp",1.0703893278914,0.968141592920354,0.0884751370730588,0.278718682557462
"A930024E05Rik","A930024E05Rik",1.0703893278914,0.968141592920354,0.0884751370730588,0.278718682557462
"Sdsl","Sdsl",1.0703893278914,0.968141592920354,0.0884751370730588,0.278718682557462
"Zbtb49","Zbtb49",1.0703893278914,0.968141592920354,0.0884751370730588,0.278718682557462
"Gareml","Gareml",1.0703893278914,0.968141592920354,0.0884751370730588,0.278718682557462
"Lrrd1","Lrrd1",1.0703893278914,0.968141592920354,0.0884751370730588,0.278718682557462
"AA415398","AA415398",1.0703893278914,0.968141592920354,0.0884751370730588,0.278718682557462
"Gm128","Gm128",1.0703893278914,0.968141592920354,0.0884751370730588,0.278718682557462
"Spry1","Spry1",1.0703893278914,0.968141592920354,0.0884751370730588,0.278718682557462
"4921531C22Rik","4921531C22Rik",1.0703893278914,0.968141592920354,0.0884751370730588,0.278718682557462
"Slc13a3","Slc13a3",1.0703893278914,0.968141592920354,0.0884751370730588,0.278718682557462
"Abtb2","Abtb2",1.0703893278914,0.968141592920354,0.0884751370730588,0.278718682557462
"Proser2","Proser2",1.0703893278914,0.968141592920354,0.0884751370730588,0.278718682557462
"Gsto2","Gsto2",1.0703893278914,0.968141592920354,0.0884751370730588,0.278718682557462
"Ifit2","Ifit2",1.0703893278914,0.968141592920354,0.0884751370730588,0.278718682557462
"Rorb","Rorb",1.0703893278914,0.968141592920354,0.0884751370730588,0.278718682557462
"Dsc2","Dsc2",1.0703893278914,0.968141592920354,0.0884751370730588,0.278718682557462
"Gm16386","Gm16386",1.0703893278914,0.968141592920354,0.0884751370730588,0.278718682557462
"Top3b","Top3b",1.0703893278914,0.968141592920354,0.0884751370730588,0.278718682557462
"Adcy8","Adcy8",1.0703893278914,0.968141592920354,0.0884751370730588,0.278718682557462
"Tmem254c-loc3","Tmem254c-loc3",1.0703893278914,0.968141592920354,0.0884751370730588,0.278718682557462
"Adamts16","Adamts16",1.0703893278914,0.968141592920354,0.0884751370730588,0.278718682557462
"Trpc7","Trpc7",1.0703893278914,0.968141592920354,0.0884751370730588,0.278718682557462
"Hist1h4n-loc2","Hist1h4n-loc2",1.0703893278914,0.968141592920354,0.0884751370730588,0.278718682557462
"Gpr137b","Gpr137b",1.0703893278914,0.968141592920354,0.0884751370730588,0.278718682557462
"Itgb8","Itgb8",1.0703893278914,0.968141592920354,0.0884751370730588,0.278718682557462
"Ptpn21","Ptpn21",1.0703893278914,0.968141592920354,0.0884751370730588,0.278718682557462
"Ttc32","Ttc32",1.0703893278914,0.968141592920354,0.0884751370730588,0.278718682557462
"Polg2","Polg2",1.0703893278914,0.968141592920354,0.0884751370730588,0.278718682557462
"Ankrd52","Ankrd52",1.0703893278914,0.968141592920354,0.0884751370730588,0.278718682557462
"Lipt1","Lipt1",1.0703893278914,0.968141592920354,0.0884751370730588,0.278718682557462
"Med30","Med30",2.35049724708413,0.760494667574314,0.0884731937972818,0.278725020265877
"Pank3","Pank3",2.82781902461732,0.563349881286423,-0.0323533237819172,0.278739103269727
"2210016L21Rik","2210016L21Rik",3.33628338786443,0.481424913525897,-0.0323494129625567,0.278751858358805
"Lrrc49","Lrrc49",2.03562390973072,0.696280420353982,-0.0323411340623544,0.278778860826933
"Fabp3","Fabp3",4.70597790168252,0.416332342824446,0.088455103987912,0.278784020887121
"Chchd10","Chchd10",4.09592441999854,0.493060083837913,0.0884399705421088,0.278833383882226
"Avpi1","Avpi1",1.63226821549951,0.772151898734177,-0.0322647686017848,0.279027994495638
"Dhx40","Dhx40",1.63226821549951,0.772201978136387,-0.0322146891995748,0.27919143164019
"Amz2","Amz2",1.63226821549951,0.772210090794162,-0.0322065765418005,0.279217912166309
"Lclat1","Lclat1",1.63226821549951,0.772234513274336,-0.0321821540616258,0.279297636951628
"Wdr61","Wdr61",2.82781902461732,0.563532574224531,-0.0321706308438097,0.279335257203546
"Larp1","Larp1",3.01792190799726,0.533312665576912,-0.0321457176214152,0.279416600685627
"Tbc1d9","Tbc1d9",2.35049724708413,0.639876202911166,-0.0321452708658659,0.279418059479976
"Cadm4","Cadm4",2.60880924267552,0.717097798956206,0.0882398897920119,0.279486416374752
"Zfand1","Zfand1",2.35049724708413,0.76024392057708,0.0882224468000485,0.279543382769087
"Gldn","Gldn",2.03562390973072,0.816790241569003,0.088168687152666,0.279718989780769
"Plscr3","Plscr3",1.0703893278914,0.847614936326354,-0.0320515195209408,0.279724268284369
"2610008E11Rik","2610008E11Rik",1.0703893278914,0.847614936326354,-0.0320515195209408,0.279724268284369
"Fnta","Fnta",3.01792190799726,0.653614579544995,0.0881561963466679,0.279759798921875
